MUNICIPIO,VALOR_BF,QTD_BF,VALOR_AE,QTD_AE,VALOR_BPC,QTD_BPC,CONF,OBT,INC,POP
GUADALUPE,355626.0,1469,2650200.0,3633,340670.0,325,80,1,76.2,10499
GUARIBAS,282806.0,997,1318200.0,1953,55385.0,54,13,0,28.5,4562
HUGO NAPOLEAO,140431.0,738,1038600.0,1437,20900.0,21,289,2,745.42,3877
ILHA GRANDE,274997.0,1560,2480400.0,3552,99275.0,96,252,4,267.35,9426
INHUMA,403062.0,2428,3879600.0,5612,254980.0,245,196,2,128.04,15308
IPIRANGA DO PIAUI,230544.0,1526,2517000.0,3655,75240.0,73,147,1,149.83,9811
ISAIAS COELHO,377989.0,1812,2299200.0,3289,93005.0,90,103,1,120.48,8549
ITAINOPOLIS,313591.0,1950,2889000.0,4350,108680.0,104,53,1,45.97,11530
ITAUEIRA,287290.0,1512,2542800.0,3921,435765.0,414,29,2,26.32,11019
JACOBINA DO PIAUI,229310.0,1267,1666800.0,2410,22990.0,23,11,0,19.16,5741
JAICOS,721243.0,3475,4822200.0,7008,381425.85,366,100,7,52.35,19104
JARDIM DO MULATO,234529.0,967,1200600.0,1713,10450.0,11,14,0,31.08,4504
JATOBA DO PIAUI,203357.0,895,1394400.0,2068,19855.0,20,46,1,94.55,4865
JERUMENHA,234243.0,975,1401000.0,1993,32395.0,32,100,1,224.62,4452
JOAO COSTA,119960.0,599,849600.0,1284,4180.0,5,18,0,59.84,3008
JOAQUIM PIRES,634234.0,2569,3747000.0,5641,70015.0,68,733,8,510.66,14354
JOCA MARQUES,218083.0,1074,1488000.0,2212,41800.0,41,327,1,600.77,5443
JOSE DE FREITAS,1240887.0,5868,10626600.0,15072,724185.0,694,1112,17,283.62,39208
JUAZEIRO DO PIAUI,191809.0,909,1491000.0,2188,12540.0,13,66,0,120.48,5478
JULIO BORGES,269339.0,1013,1429800.0,2165,15675.0,16,12,2,21.33,5627
JUREMA,234450.0,1016,1586400.0,2382,55385.0,54,17,1,35.69,4763
LAGOINHA DO PIAUI,69659.0,419,727800.0,1048,10450.0,10,140,2,492.09,2845
LAGOA ALEGRE,374706.0,1474,2332200.0,3466,34485.0,34,191,5,223.6,8542
LAGOA DO BARRO DO PIAUI,153781.0,672,1054800.0,1618,47025.0,46,317,1,680.99,4655
LAGOA DE SAO FRANCISCO,216452.0,1030,1563000.0,2415,58520.0,57,55,2,81.39,6758
LAGOA DO PIAUI,214834.0,831,1280400.0,1804,8360.0,9,276,2,679.13,4064
LAGOA DO SITIO,249200.0,1116,1485600.0,2197,2090.0,2,24,3,46.36,5177
LANDRI SALES,257251.0,1134,1606200.0,2150,70015.0,68,22,1,41.55,5295
LUIS CORREIA,906984.0,5190,8431200.0,12294,780615.5,748,351,13,115.8,30311
LUZILANDIA,1229922.0,5191,7380000.0,10402,566390.0,543,1559,26,611.71,25486
MADEIRO,344337.0,1343,1835400.0,2750,7315.0,8,365,2,439.23,8310
MANOEL EMIDIO,130923.0,764,1336800.0,1949,15675.0,16,119,5,222.47,5349
MARCOLANDIA,432493.0,1856,2804400.0,3960,65835.0,64,267,6,314.41,8492
MARCOS PARENTE,150360.0,905,1308600.0,1719,19855.0,20,52,1,114.31,4549
MASSAPE DO PIAUI,271631.0,1086,1607400.0,2452,27170.0,27,4,0,6.21,6441
MATIAS OLIMPIO,525041.0,2042,2901000.0,3964,76285.0,74,343,5,313.64,10936
MIGUEL ALVES,1539519.0,6025,8695800.0,12229,586245.0,562,1021,12,302.43,33760
MIGUEL LEAO,42608.0,189,335400.0,507,5225.0,6,30,0,240.77,1246
MILTON BRANDAO,238391.0,1069,1621800.0,2546,37620.0,37,13,0,19.66,6613
MONSENHOR GIL,407202.0,1711,2688600.0,3872,110770.0,107,481,8,455.32,10564
MONSENHOR HIPOLITO,297516.0,1315,2149200.0,3199,119130.0,114,144,2,185.83,7749
MONTE ALEGRE DO PIAUI,500203.0,1836,2699400.0,3899,54340.0,53,181,4,170.55,10613
