,CIDADE,VALOR,BENEFICIARIOS
193,SAO JOAO DO ARRAIAL,490527.0,1864
194,SAO JOAO DO PIAUI,703009.0,3053
195,SAO JOSE DO DIVINO,225579.0,1057
196,SAO JOSE DO PEIXE,153341.0,781
197,SAO JOSE DO PIAUI,224297.0,1029
198,SAO JULIAO,247621.0,1065
199,SAO LOURENCO DO PIAUI,257117.0,1041
200,SAO LUIS DO PIAUI,96078.0,380
201,SAO MIGUEL DA BAIXA GRANDE,59203.0,288
202,SAO MIGUEL DO FIDALGO,135853.0,579
203,SAO MIGUEL DO TAPUIO,477275.0,2743
204,SAO PEDRO DO PIAUI,568911.0,2814
205,SAO RAIMUNDO NONATO,1209882.0,5208
206,SEBASTIAO BARROS,171625.0,761
207,SEBASTIAO LEAL,100276.0,660
208,SIGEFREDO PACHECO,380538.0,1972
209,SIMOES,356622.0,1992
210,SIMPLICIO MENDES,473929.0,2106
211,SOCORRO DO PIAUI,206131.0,919
212,SUSSUAPARA,125292.0,875
213,TAMBORIL DO PIAUI,140473.0,613
214,TANQUE DO PIAUI,89386.0,464
215,TERESINA,12302594.0,63750
216,UNIAO,2007519.0,7450
217,URUCUI,718841.0,3151
218,VALENCA DO PIAUI,337407.0,2398
219,VARZEA BRANCA,236936.0,1174
220,VARZEA GRANDE,165427.0,868
221,VERA MENDES,114027.0,644
222,VILA NOVA DO PIAUI,96795.0,491
223,WALL FERRAZ,116141.0,758
