Piau&iacute; | Todos os Munic&iacute;pios;;;;;;;;;;;;;;;;;;;;;
Curimat&aacute;,2203206,curimataense,VALDECIR RODRIGUES DE ALBUQUERQUE JUNIOR,2344.655,11426,4.60,97.6,0.607,16.13,24055.05838,21122.68328,7938.47,;;;;;;;;;;;;;;;;;;;;;;
Currais,2203230,curralense,RAIMUNDO DE SOUSA SANTOS,3156.657,4968,1.49,98.6,0.542,14.29,23189.89072,15583.21269,32119.24,;;;;;;;;;;;;;;;;;;;;;;;
Curralinhos,2203255,curralinhense,FRANCISCO ALCIDES MACHADO OLIVEIRA,345.848,4459,12.09,84.7,0.555,29.41,13668.67189,12623.91663,5986.56,;;;;;;;;;;;;;;;;;;;;;;;
Curral Novo do Piau&iacute;,2203271,curral novense,ABEL FRANCISCO DE OLIVEIRA JUNIOR,755.251,5367,6.47,95.6,0.527,27.40,16920.99427,13704.25895,57549.37,;;;;;;;;;;;;;;;;;;;;;;
Demerval Lob&atilde;o,2203305,morrinhense,LUIS GONZAGA DE CARVALHO JUNIOR,216.807,13840,61.24,97.9,0.618,15.15,32040.05026,29658.87834,9802.05,;;;;;;;;;;;;;;;;;;;;;;
Dirceu Arcoverde,2203354,arcoverdense,CARLOS GOMES DE OLIVEIRA,1017.057,7029,6.56,97.5,0.561,10.42,N&atilde;o informado,N&atilde;o informado,6413.86,;;;;;;;;;;;;;;;;;;;;;
Dom Expedito Lopes,2203404,dom-expedito-lopense,VALMIR BARBOSA DE ARA&Uacute;JO,218.710,6922,29.99,98.5,0.601,10.87,15381.40465,13068.66454,9856.15,;;;;;;;;;;;;;;;;;;;;;;
Domingos Mour&atilde;o,2203420,domingos-mouronense,JULIO CESAR BARBOSA FRANCO,848.705,4354,5.04,95.8,0.550,16.95,12625.57011,11843.98706,7443.37,;;;;;;;;;;;;;;;;;;;;;;
Dom Inoc&ecirc;ncio,2203453,inocentino,MARIA DAS VIRGENS DIAS,3870.167,9565,2.39,98.4,0.549,13.33,20616.96655,18661.41778,6031.27,;;;;;;;;;;;;;;;;;;;;;;
Elesb&atilde;o Veloso,2203503,elesbonense,JOSE RONALDO GOMES BARBOSA,1383.978,14575,10.77,98.9,0.580,19.35,29373.79818,27174.11646,8603.12,;;;;;;;;;;;;;;;;;;;;;;
Eliseu Martins,2203602,eliseu-martinino,MARCOS AURELIO GUIMARAES DE ARAUJO,1090.450,4930,4.28,98.4,0.595,20.00,14592.82853,13664.54798,8449.29,;;;;;;;;;;;;;;;;;;;;;;;
Esperantina,2203701,esperantinense,VILMA CARVALHO AMORIM,908.777,39848,41.45,97.5,0.605,12.33,72886.22848,71734.37787,8659.36,;;;;;;;;;;;;;;;;;;;;;;;
Fartura do Piau&iacute;,2203750,farturense,LA&Ecirc;NIO ROMMEL RODRIGUES MAC&Ecirc;DO,712.918,5319,7.12,96.3,0.548,38.96,6866.75212,11281.58375,5340.05,;;;;;;;;;;;;;;;;;;;;
Flores do Piau&iacute;,2203800,florentino-do-piau&iacute;,ADINAEL RODRIGUES DE BARROS,946.719,4462,4.61,99,0.547,16.13,13043.44806,11655.99295,8201.11,;;;;;;;;;;;;;;;;;;;;;
Floresta do Piau&iacute;,2203859,florestense,AMILTON RODRIGUES DE SOUSA,223.218,2560,12.75,99.3,0.538,58.82,5088.68243,5515.7882,7942.88,;;;;;;;;;;;;;;;;;;;;;;
Floriano,2203909,florianense,JOEL RODRIGUES DA SILVA,3409.647,60025,16.92,98.1,0.700,16.34,141641.34217,120928.52775,17285.07,;;;;;;;;;;;;;;;;;;;;;;;
Francin&oacute;polis,2204006,francinopolitano,PAULO CESAR RODRIGUES DE MORAIS,268.702,5347,19.48,97.5,0.564,17.24,12864.19584,11575.86989,6868.65,;;;;;;;;;;;;;;;;;;;;;;
Francisco Ayres,2204105,airense,VALKIR NUNES DE OLIVEIRA,656.475,4323,6.82,98.1,0.577,15.63,12745.84827,11909.83512,8494.75,;;;;;;;;;;;;;;;;;;;;;;;
Francisco Macedo,2204154,francisco macedense,RAIMUNDO NONATO DE ALENCAR,176.505,3200,18.54,97.8,0.553,51.28,11489.26019,10311.65617,7447.46,;;;;;;;;;;;;;;;;;;;;;;;
Francisco Santos,2204204,francisco-santense,LUIS JOS&Eacute; DE BARROS,491.865,9372,17.47,97.4,0.608,10.31,19697.26269,16931.93601,6805.65,;;;;;;;;;;;;;;;;;;;;;;
Fronteiras,2204303,fronteirense,MARIA JOSE AYRES DE SOUSA,778.204,11659,14.33,97.5,0.619,16.81,37581.59783,31546.01684,12782.88,;;;;;;;;;;;;;;;;;;;;;;;
Geminiano,2204352,geminianense,ERCULANO EDIMILSON DE CARVALHO,441.336,5460,11.84,97,0.561,22.73,14154.26818,12016.40949,7979.84,;;;;;;;;;;;;;;;;;;;;;;;
Gilbu&eacute;s,2204402,gilbuense,LEONARDO DE MORAIS MATOS,3494.953,10694,2.98,93.7,0.548,24.51,25861.84513,25369.73599,17665.72,;;;;;;;;;;;;;;;;;;;;;;
Guadalupe,2204501,guadalupense,MARIA JOZENEIDE FERNANDES LIMA,1023.592,10497,10.03,98.8,0.650,15.79,26771.74477,26817.43176,51697.69,;;;;;;;;;;;;;;;;;;;;;;;
Guaribas,2204550,guaribano,CLAUDINE MATIAS MAIA,3118.231,4568,1.41,98.2,0.508,11.90,13595.51123,12681.98387,6833.16,;;;;;;;;;;;;;;;;;;;;;;;
Hugo Napole&atilde;o,2204600,hugo-napoleonense,HELIO RODRIGUES ALVES,224.455,3879,16.80,96.8,0.599,21.28,13171.38105,12298.23884,7009.48,;;;;;;;;;;;;;;;;;;;;;;
Ilha Grande,2204659,ilhagrandense,HERBERT DE MORAES E SILVA,134.015,9457,66.36,98.1,0.563,18.29,19581.58151,18923.82527,7363.74,;;;;;;;;;;;;;;;;;;;;;;;
Inhuma,2204709,inhumense,ANT&Ocirc;NIO RUFINO DA SILVA J&Uacute;NIOR,978.222,15319,15.18,98.8,0.624,10.87,28264.54945,27340.8185,8119.96,;;;;;;;;;;;;;;;;;;;;;
Ipiranga do Piau&iacute;,2204808,ipiranguense,JOSE SANTOS REGO,529.417,9838,17.67,94.9,0.630,18.69,24167.26633,21329.6211,7089.66,;;;;;;;;;;;;;;;;;;;;;;
Isa&iacute;as Coelho,2204907,isaiense,FRANCISCO EUDES CASTELO BRANCO NUNES,800.688,8566,10.59,95,0.582,16.13,18542.51204,17138.25662,6378.94,;;;;;;;;;;;;;;;;;;;;;;
Itain&oacute;polis,2205003,itainopolense,PAULO LOPES MOREIRA,827.620,11551,13.41,97.1,0.541,16.95,28404.00061,25724.92413,7035.48,;;;;;;;;;;;;;;;;;;;;;;
Itaueira,2205102,itaueirense,QUIRINO DE ALENCAR AVELINO,2554.179,11028,4.18,98.7,0.583,14.71,46576.98933,25063.51458,10054.21,;;;;;;;;;;;;;;;;;;;;;;;
Jacobina do Piau&iacute;,2205151,jacobinense,GEDERLANIO RODRIGUES DE OLIVEIRA,1333.796,5729,4.17,97.7,0.535,36.36,14931.85453,13966.90395,7618.34,;;;;;;;;;;;;;;;;;;;;;;
