,CIDADE,VALOR,BENEFICIARIOS
212,SUSSUAPARA,1532400.0,2255
213,TAMBORIL DO PIAUI,811200.0,1226
214,TANQUE DO PIAUI,725400.0,1085
215,TERESINA,157291800.0,211286
216,UNIAO,12263400.0,16347
217,URUCUI,5832600.0,7582
218,VALENCA DO PIAUI,5220600.0,7440
219,VARZEA BRANCA,1605600.0,2270
220,VARZEA GRANDE,1202400.0,1712
221,VERA MENDES,928800.0,1435
222,VILA NOVA DO PIAUI,742800.0,1120
223,WALL FERRAZ,1116000.0,1703
